Season,TeamID,DOK,MOR,POM,RPI,RTH,SAG,WLK,WOL,RankMean,RankMedian,RankStd,DOK_pct,MOR_pct,POM_pct,RPI_pct,RTH_pct,SAG_pct,WLK_pct,WOL_pct,AvgRankPct
2003,1102,,132.0,160.0,158.0,146.0,149.0,165.0,157.0,152.42857142857142,157.0,11.088389466120901,,0.6401098901098901,0.5631868131868132,0.5686813186813187,0.6016483516483516,0.5922865013774105,0.5494505494505495,0.5714285714285714,0.5838274279832721
2003,1103,,139.0,163.0,182.0,168.0,172.0,172.0,171.0,166.71428571428572,171.0,13.487207342691885,,0.6208791208791209,0.554945054945055,0.5027472527472527,0.5412087912087912,0.5289256198347108,0.5302197802197802,0.532967032967033,0.544556093257392
2003,1104,,26.0,33.0,38.0,31.0,37.0,36.0,37.0,34.0,36.0,4.320493798938574,,0.9313186813186813,0.9120879120879121,0.8983516483516484,0.9175824175824175,0.9008264462809917,0.9038461538461539,0.9010989010989011,0.9093017372238152
2003,1105,,309.0,307.0,313.0,312.0,312.0,310.0,311.0,310.57142857142856,311.0,2.0701966780270626,,0.15384615384615385,0.15934065934065933,0.14285714285714285,0.14560439560439561,0.14325068870523416,0.1510989010989011,0.14835164835164835,0.14919279854344789
2003,1106,,294.0,263.0,248.0,274.0,268.0,254.0,270.0,267.2857142857143,268.0,14.907652237629348,,0.19505494505494506,0.2802197802197802,0.32142857142857145,0.25,0.2644628099173554,0.30494505494505497,0.260989010989011,0.2681571675078169
2003,1107,,316.0,312.0,294.0,305.0,307.0,309.0,301.0,306.2857142857143,307.0,7.250615737399725,,0.1346153846153846,0.14560439560439561,0.19505494505494506,0.16483516483516483,0.15702479338842976,0.15384615384615385,0.17582417582417584,0.1609721447383785
2003,1108,,296.0,279.0,264.0,281.0,281.0,268.0,273.0,277.42857142857144,279.0,10.501700542565203,,0.18956043956043955,0.23626373626373626,0.2774725274725275,0.23076923076923078,0.22865013774104684,0.2664835164835165,0.25274725274725274,0.24027812014825
2003,1110,,154.0,143.0,166.0,199.0,180.0,173.0,207.0,174.57142857142858,173.0,22.99896478001523,,0.5796703296703297,0.6098901098901099,0.5467032967032966,0.45604395604395603,0.5068870523415978,0.5274725274725275,0.4340659340659341,0.5229618865982503
2003,1111,,203.0,170.0,162.0,161.0,152.0,137.0,143.0,161.14285714285714,161.0,21.705825419524068,,0.44505494505494503,0.5357142857142857,0.5576923076923077,0.5604395604395604,0.5840220385674931,0.6263736263736264,0.6098901098901099,0.5598838391046183
2003,1112,,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.4285714285714284,2.0,0.7867957924694432,,0.9917582417582418,0.9945054945054945,0.9972527472527473,0.9972527472527473,0.9972451790633609,0.9972527472527473,0.9972527472527473,0.996074272048298
2003,1113,,22.0,32.0,32.0,35.0,32.0,34.0,39.0,32.285714285714285,32.0,5.1869800370506445,,0.9423076923076923,0.9148351648351648,0.9148351648351648,0.9065934065934066,0.9146005509641874,0.9093406593406593,0.8956043956043956,0.9140167192115244
2003,1114,,178.0,166.0,150.0,153.0,165.0,164.0,136.0,158.85714285714286,164.0,13.643418088692334,,0.5137362637362637,0.5467032967032966,0.5906593406593407,0.5824175824175825,0.5482093663911846,0.5521978021978022,0.6291208791208791,0.5661492187466214
2003,1115,,324.0,319.0,312.0,319.0,323.0,320.0,316.0,319.0,319.0,4.08248290463863,,0.11263736263736264,0.12637362637362637,0.14560439560439561,0.12637362637362637,0.11294765840220386,0.12362637362637363,0.1346153846153846,0.1260254896618533
