ID,Season,TeamA,TeamB,Label,Diff_Games,Diff_FGA,Diff_FGA3,Diff_FTA,Diff_OR,Diff_DR,Diff_Ast,Diff_TO,Diff_Stl,Diff_Blk,Diff_PF,Diff_NumOT,Diff_WinRate,Diff_FGPct,Diff_FG3Pct,Diff_FTPct,Diff_TotalReb,Diff_OffEff,Diff_DefEff,Diff_NetEff,Diff_TourneyApps,Diff_TourneyWins,Diff_TourneyWinRate,Diff_WinRate_H,Diff_WinRate_A,Diff_WinRate_N,Diff_HomeAdvantage,Diff_ConfStrengthIndex,Diff_ConfAvgScoreDiff,Diff_LateWinRate,Diff_LastNWinRate,Diff_LastNScoreDiff,Diff_WinRateTrend,Diff_RecentWinRate,Diff_SeedNum,Diff_AvgRankPct,Diff_MidSeasonChange,Diff_CoachTourneyWins,Diff_CoachTourneyWinRate,Diff_Elo
1985_1116_1234,1985,1116,1234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1120_1345,1985,1120,1345,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1207_1250,1985,1207,1250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1229_1425,1985,1229,1425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1242_1325,1985,1242,1325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1246_1449,1985,1246,1449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1256_1338,1985,1256,1338,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1233_1260,1985,1233,1260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1292_1314,1985,1292,1314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1323_1333,1985,1323,1333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1235_1326,1985,1235,1326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1299_1328,1985,1299,1328,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1330_1374,1985,1330,1374,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1380_1385,1985,1380,1385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1396_1439,1985,1396,1439,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1361_1424,1985,1361,1424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1104_1112,1985,1104,1112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1130_1403,1985,1130,1403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1181_1337,1985,1181,1337,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1208_1455,1985,1208,1455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1210_1273,1985,1210,1273,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1228_1318,1985,1228,1318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1268_1275,1985,1268,1275,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1272_1335,1985,1272,1335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1192_1276,1985,1192,1276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1261_1298,1985,1261,1298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1301_1305,1985,1301,1305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1177_1393,1985,1177,1393,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1277_1412,1985,1277,1412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985_1409_1431,1985,1409,1431,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
